;b0.9;b0.99;b0.999
111;0.34447741004077925;0.3213610326136689;0.3025775301376932
112;0.3396420462819433;0.31665189833728324;0.2979779228883229
113;0.3348175891253413;0.3119559387246348;0.2933933391526198
114;0.3300040921802292;0.3072732133221604;0.28882384336646405
115;0.32520161295577577;0.30260378610007954;0.28426950491338754
116;0.3204102128028554;0.29794772556880866;0.2797303982991962
117;0.31562995697225604;0.29330510483716987;0.2752066032683851
118;0.31086091461467846;0.28867600190342857;0.2706982048041391
119;0.3061031593046061;0.2840604994806708;0.2662052934193708
120;0.3013567685746431;0.27945868540425667;0.26172796515672025
121;0.2966218244975911;0.2748706525736131;0.2572663218795942
122;0.2918984137446571;0.2702964991850634;0.2528204714467879
123;0.28718662741083034;0.2657363290810747;0.24839052759607066
124;0.28248656165516617;0.26119025151742636;0.2439766105844695
125;0.27779831746795647;0.2566583816288711;0.23957884701364685
126;0.27312200107818174;0.2521408407201744;0.2351973702955612
127;0.26845772395351275;0.2476377562079055;0.23083232076888266
128;0.26380560332417824;0.24314926202789205;0.2264838459318238
129;0.2591657620665502;0.23867549886805006;0.22215210084959292
130;0.25453832899418183;0.2342166142847999;0.21783724832901719
131;0.2499234393234694;0.22977276328514196;0.2135394590931659
132;0.24532123473185902;0.22534410838486535;0.20925891247984185
133;0.2407318637070936;0.22093081989958557;0.20499579644158178
134;0.2361554818382503;0.2165330765850289;0.20075030818594042
135;0.23159225228140246;0.2121510656370324;0.19652265435011368
136;0.22704234581782679;0.20778498333182832;0.1923130515830151
137;0.2225059415524956;0.203435035549913;0.18812172701093693
138;0.2179832270886995;0.1991014378342542;0.18394891870321195
139;0.21347439916833216;0.1947844163798219;0.17979487619608203
140;0.20897966396292805;0.19048420815000322;0.17565986113298232
141;0.2044992376557393;0.18620106169150968;0.171544147730203
142;0.20003334690739727;0.18193523771645392;0.16744802365000355
143;0.19558222972902667;0.17768700974263424;0.16337179075731295
144;0.191146135773285;0.1734566647338182;0.15931576552718302
145;0.1867253272074761;0.16924450408927355;0.15528028032535685
146;0.18232007941204348;0.16505084428405187;0.1512656841067609
147;0.17793068179547655;0.16087601780031174;0.1472723433468276
148;0.17355743878384128;0.15672037429147162;0.14330064338027132
149;0.16920067046106435;0.15258428145532454;0.1393509890995807
150;0.16486071408233244;0.1484681262563997;0.13542380675945564
151;0.16053792483079177;0.14437231632294567;0.13151954490813034
152;0.15623267709811656;0.14029728122749896;0.12763867613360275
153;0.15194536605611597;0.13624347388386843;0.12378169851882631
154;0.14767640893730255;0.13221137252619497;0.11994913756256276
155;0.14342624683932992;0.12820148216414384;0.11614154810023475
156;0.13919534623839158;0.12421433685300273;0.11235951639940184
157;0.13498420120111249;0.12025050178915805;0.1086036624298592
158;0.13079333565464735;0.11631057569660877;0.10487464271581293
159;0.1266233054821569;0.11239519356272648;0.10117315283880954
160;0.12247470137498287;0.1085050296650539;0.09749993087198802
161;0.11834815180123887;0.10464080059810305;0.09385576069791626
162;0.11424432638185472;0.10080326923147631;0.09024147590850456
163;0.11016393949945139;0.09699324866798745;0.08665796422878771
164;0.1061077543728772;0.09321160678385892;0.0831061722317456
165;0.10207658794665153;0.08945927123458078;0.07958711057699269
166;0.09807131583861567;0.08573723556671528;0.0761018604136206
167;0.09409287862636048;0.08204656515507788;0.07265157972483313
168;0.0901422882500689;0.07838840500256422;0.06923751130239611
169;0.08622063581234254;0.07476398783101457;0.06586099130316306
170;0.08232910048397393;0.07117464368547821;0.06252345891154718
171;0.07846895928283318;0.06762181058621511;0.059226467981053466
172;0.07464159877360821;0.06410704710155074;0.05597169937430277
173;0.07084852857198173;0.060632046783376026;0.05276097586419294
174;0.06709139659503863;0.05719865463991525;0.049596279188743445
175;0.06337200780413252;0.05380888651887711;0.04647976966707715
176;0.059692345043228456;0.05046495169202721;0.04341380884220021
177;0.05605459470848134;0.047169279630711825;0.0404009864311492
178;0.05246117672518112;0.04392455126337204;0.037444151640712395
179;0.048914780636502564;0.040733736519484615;0.034546450071087004
180;0.04541840914283557;0.03760013914946107;0.031711367779078126
181;0.04197543089613345;0.034527450799564555;0.028942783781408958
182;0.03858964540145472;0.03151981690298164;0.026245033151825005
183;0.03526536357636567;0.02858191677356383;0.023622983214922115
184;0.03200750769349395;0.025719063548381035;0.021082126445573106
185;0.0288217388553057;0.02293732764617009;0.018628693624620336
186;0.025714618869610226;0.02024369311311173;0.01626979359546929
187;0.02269382125233041;0.01764625512142367;0.014013585616972187
188;0.019768407481060825;0.015154474627876505;0.011869492752712485
189;0.016949196904752134;0.012779506781416053;0.009848465842746578
190;0.014249268260916464;0.010534630437492282;0.007963305974044613
191;0.01168465310349057;0.008435810793308598;0.00622904940775134
192;0.009275311072192385;0.0065024329207632285;0.004663396278607901
193;0.0070465234421282375;0.0047582364650662935;0.0032871065234605394
194;0.005030899017991548;0.0032324136158453963;0.0021241185084733332
195;0.003271214609702067;0.0019605666231657763;0.0012006842379117166
196;0.001824034617584889;0.000984233579717763;0.0005415357976023917
197;0.0007620196646129725;0.0003441246324245111;0.0001577779868645598
198;0.00016103033991159512;5.0376063337218364e-05;1.5876033536840814e-05
199;2.49997129333904e-06;2.499541652289918e-07;2.498155624838546e-08
