k;b0.9;b0.99;b0.999
124;0.4118862701013897;0.3900983200743907;0.3721998852788925
125;0.407903980356897;0.38618116889328147;0.3683400512395777
126;0.4039277881559111;0.38227141369396844;0.3644886805359352
127;0.39995769937740566;0.378369059540518;0.36064577770816253
128;0.3959937210645078;0.37447411283577314;0.356811348693441
129;0.3920358615991206;0.3705865814377678;0.3529854012333895
130;0.38808413029446975;0.36670647460151995;0.3491679445248185
131;0.3841385378607648;0.36283380297903167;0.3453589894525606
132;0.38019909611416103;0.35896857885211964;0.34155854853126266
133;0.3762658180931743;0.3551108157249607;0.3377666360218018
134;0.372338718175097;0.3512605286151317;0.333983267698454
135;0.36841781172675137;0.34741773422823097;0.3302084610817251
136;0.36450311562835924;0.3435824504340107;0.3264422353219357
137;0.36059464786608775;0.3397546968484523;0.3226846114320513
138;0.3566924277648802;0.3359344946009367;0.31893561193843645
139;0.35279647593024854;0.3321218662178289;0.31519526128830866
140;0.34890681430648096;0.32831683591351557;0.3114635856169079
141;0.3450234661766418;0.32451942947399026;0.30774061280570353
142;0.3411464561043638;0.3207296743150615;0.30402637277343336
143;0.33727581016667896;0.31694759948235196;0.30032089695223385
144;0.3334115558376032;0.31317323565129884;0.2966242189861332
145;0.3295537218717213;0.30940661524356927;0.29293637420718166
146;0.325702338595224;0.30564777242705987;0.2892574000429048
147;0.32185743796411737;0.3018967430576901;0.28558733578347395
148;0.31801905315676815;0.29815356491223155;0.2819262228727434
149;0.3141872192141879;0.29441827745547844;0.2782741046172127
150;0.31036197263258014;0.29069092218949255;0.27463102676810336
151;0.30654335147975476;0.28697154242077394;0.2709970368228668
152;0.3027313956279598;0.2832601834930901;0.2673721848982986
153;0.29892614663746464;0.27955689284568463;0.26375652309025543
154;0.29512764775656175;0.2758617197804464;0.26015010588110765
155;0.2913359440961878;0.2721747158693626;0.2565529902561553
156;0.2875510826881329;0.26849593489631196;0.2529652354707971
157;0.28377311236862435;0.26482543285706417;0.2493869033997762
158;0.28000208406936555;0.26116326790107225;0.24581805842076576
159;0.27623805058470485;0.2575095007971342;0.2422587677054061
160;0.2724810670372967;0.25386419464235443;0.23870910092826736
161;0.2687311904124413;0.2502274150367664;0.23516913079071783
162;0.26498848019836785;0.2465992301997486;0.23163893278809355
163;0.2612529980369893;0.2429797110864398;0.22811858550073655
164;0.2575248079567324;0.23936893132953058;0.2246081704193721
165;0.253803976547161;0.23576696747209513;0.22110777246897712
166;0.250090572842561;0.2321738991422133;0.21761747971774253
167;0.24638466861297814;0.22858980887834812;0.2141373836099033
168;0.24268633818959529;0.22501478242038403;0.21066757937319264
169;0.2389956589886011;0.22144890894245722;0.20720816555318017
